head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
minipreco	Minipreço	292	16	store	any	0.996	discount_store	discount_store:273|shopping:16|wholesale_store:1|superstore:1|sunglasses_store:1	False
parfois	Parfois	158	0	store	fashion_accessories	0.911	fashion_accessories_store	fashion_accessories_store:144|clothing_store:11|womens_clothing_store:2|jewelry_store:1	True
opticas multiopticas	Ópticas MultiOpticas	112	12	store	eyewear_and_optician	0.93	eyewear_and_optician	eyewear_and_optician:93|shopping:12|sunglasses_store:5|hobby_shop:1|hearing_aid_provider:1	False
sport zone	Sport Zone	100	14	store	sports	0.895	sports_wear	sports_wear:55|sporting_goods:21|shopping:14|bicycle_shop:5|outdoor_gear:1|shoe_store:1|home_goods_store:1|gift_shop:1|childrens_clothing_store:1	True
united colors	United Colors	96	0	store	clothing	0.979	clothing_store	clothing_store:94|childrens_clothing_store:1|womens_clothing_store:1	True
multiopticas	MultiOpticas	87	3	store	eyewear_and_optician	0.988	eyewear_and_optician	eyewear_and_optician:83|shopping:3|jewelry_store:1	True
intimissimi	Intimissimi	75	0	store	clothing	0.693	clothing_store	clothing_store:52|lingerie_store:16|designer_clothing:3|womens_clothing_store:2|mens_clothing_store:2	True
worten	Worten	72	0	store	electronics	0.972	electronics	electronics:39|appliance_store:31|furniture_store:2	True
radio popular	Radio Popular	69	0	store	electronics	1.0	electronics	electronics:45|appliance_store:23|computer_store:1	True
leroy merlin	Leroy Merlin	65	6	store	hardware	0.966	do_it_yourself_store	do_it_yourself_store:28|hardware_store:14|building_supply_store:12|shopping:6|home_improvement_store:3|arts_and_crafts:1|home_goods_store:1	True
lanidor woman	Lanidor Woman	61	0	store	womens_clothing	0.836	womens_clothing_store	womens_clothing_store:51|childrens_clothing_store:5|clothing_store:4|designer_clothing:1	True
bershka	Bershka	60	0	store	clothing	0.933	clothing_store	clothing_store:56|womens_clothing_store:2|shoe_store:1|mens_clothing_store:1	True
perfumes companhia	Perfumes &	60	17	store	beauty	0.884	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:24|shopping:17|perfume_store:10|hair_supply_stores:4|fashion:3|gift_shop:1|clothing_store:1	True
lidl	Lidl	60	0	store	any	1.0	discount_store	discount_store:60	False
opticalia	Opticalia	56	36	store	eyewear_and_optician	0.95	eyewear_and_optician	shopping:36|eyewear_and_optician:19|sunglasses_store:1	True
audika	Audika	55	0	store	hearing_aid_provider	1.0	hearing_aid_provider	hearing_aid_provider:55	False
pull bear	Pull &	53	0	store	clothing	0.981	clothing_store	clothing_store:52|mens_clothing_store:1	True
springfield	Springfield	48	0	store	clothing	0.958	clothing_store	clothing_store:46|mens_clothing_store:2	True
mais optica	Mais Optica	46	6	store	eyewear_and_optician	0.925	eyewear_and_optician	eyewear_and_optician:37|shopping:6|fashion_accessories_store:1|sunglasses_store:1|photography_store_and_services:1	True
kiko milano	Kiko Milano	45	22	store	beauty	0.87	cosmetic_and_beauty_supplies	shopping:22|cosmetic_and_beauty_supplies:20|clothing_store:1|jewelry_store:1|designer_clothing:1	True
massimo dutti	Massimo Dutti	45	0	store	mens_clothing	0.844	mens_clothing_store	mens_clothing_store:38|clothing_store:7	True
tezenis	Tezenis	45	0	store	clothing	0.622	clothing_store	clothing_store:28|lingerie_store:12|childrens_clothing_store:3|womens_clothing_store:2	True
jd sports	JD Sports	42	0	store	sports	0.714	sports_wear	sports_wear:17|sporting_goods:13|shoe_store:7|clothing_store:5	True
tiffosi	Tiffosi	42	0	store	clothing	0.81	clothing_store	clothing_store:34|mens_clothing_store:4|boutique:2|womens_clothing_store:2	True
zara	Zara	41	0	store	clothing	0.829	clothing_store	clothing_store:34|womens_clothing_store:4|childrens_clothing_store:3	True
kiwoko mundo	Kiwoko. Mundo	36	0	store	pet	1.0	pet_store	pet_store:36	True
claire s	Claire's	36	6	store	fashion_accessories	0.9	fashion_accessories_store	fashion_accessories_store:27|shopping:6|clothing_store:2|costume_store:1	True
stradivarius	Stradivarius	36	0	store	womens_clothing	0.694	womens_clothing_store	womens_clothing_store:25|clothing_store:11	True
levi s	Levi's	36	1	store	clothing	0.943	clothing_store	clothing_store:33|mens_clothing_store:2|shopping:1	True
sunglass hut	Sunglass Hut	35	0	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:35	True
pandora	Pandora	35	0	store	jewelry	0.971	jewelry_store	jewelry_store:34|gift_shop:1	True
acustica medica	ACÚSTICA MÉDICA	35	0	store	hearing_aid_provider	0.971	hearing_aid_provider	hearing_aid_provider:34|gift_shop:1	False
chicco	Chicco	34	0	store	childrens_clothing	0.971	childrens_clothing_store	childrens_clothing_store:33|clothing_store:1	True
bertrand	Bertrand	34	0	store	books	1.0	bookstore	bookstore:34	True
rituals	Rituals	33	8	store	beauty	0.96	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:23|shopping:8|perfume_store:1|childrens_clothing_store:1	True
the body	The Body	32	1	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:23|perfume_store:7|shopping:1|hair_supply_stores:1	False
alain afflelou	Alain Afflelou	32	7	store	eyewear_and_optician	1.0	eyewear_and_optician	eyewear_and_optician:25|shopping:7	True
lefties	Lefties	32	0	store	clothing	1.0	clothing_store	clothing_store:32	True
viva	Viva	31	0	store	home	1.0	home_goods_store	home_goods_store:31	False
balvera perfumarias	Balvera Perfumarias	31	2	store	beauty	1.0	perfume_store	perfume_store:29|shopping:2	True
tedi comercio	TEDi Comércio	29	0	store	any	1.0	discount_store	discount_store:29	False
salsa	Salsa	29	0	store	clothing	0.966	clothing_store	clothing_store:28|womens_clothing_store:1	True
mr blue	Mr. Blue	28	0	store	mens_clothing	0.929	mens_clothing_store	mens_clothing_store:26|clothing_store:2	True
tiendanimal	Tiendanimal	28	0	store	pet	1.0	pet_store	pet_store:28	True
oysho	Oysho	26	0	store	lingerie	0.654	lingerie_store	lingerie_store:17|womens_clothing_store:9	False
doggyrade	DoggyRade	26	0	store	pet	1.0	pet_store	pet_store:26	True
norte moda	Norte Moda	26	0	store	clothing	0.885	clothing_store	clothing_store:23|womens_clothing_store:2|childrens_clothing_store:1	True
ptn store	Ptn Store	26	1	store	clothing	0.84	clothing_store	clothing_store:21|fashion:2|shopping:1|shoe_store:1|womens_clothing_store:1	True
staples	Staples	26	0	store	office_equipment	1.0	office_equipment	office_equipment:26	True
celeiro	Celeiro	26	0	store	health_food	1.0	health_food_store	health_food_store:26	False
douglas	Douglas	25	0	store	beauty	1.0	perfume_store	perfume_store:25	True
mayoral loja	Mayoral -	25	0	store	childrens_clothing	1.0	childrens_clothing_store	childrens_clothing_store:25	True
vodafone	Vodafone	24	1	store	phone	0.826	mobile_phone_store	mobile_phone_store:19|computer_store:2|electronics:2|shopping:1	True
calcado guimaraes	Calçado Guimarães	24	2	store	shoes	0.864	shoe_store	shoe_store:19|clothing_store:3|shopping:2	True
pepco	Pepco	24	0	store	clothing	1.0	clothing_store	clothing_store:24	True
livraria bertrand	Livraria Bertrand	23	0	store	books	1.0	bookstore	bookstore:23	False
ale hop	Ale-Hop	23	1	store	gift	0.773	gift_shop	flowers_and_gifts_shop:10|gift_shop:7|office_equipment:1|souvenir_shop:1|fashion_accessories_store:1|department_store:1|shopping:1|hobby_shop:1	False
la casa	La Casa	23	0	store	phone	0.957	mobile_phone_store	mobile_phone_store:22|tobacco_shop:1	False
homa	hôma	22	1	store	home	0.952	home_decor	home_decor:16|home_goods_store:4|furniture_store:1|shopping:1	True
seaside	Seaside	22	0	store	shoes	0.955	shoe_store	shoe_store:21|department_store:1	True
pepe jeans	Pepe Jeans	22	0	store	clothing	0.909	clothing_store	clothing_store:20|designer_clothing:2	True
widex centro	Widex Centro	22	0	store	hearing_aid_provider	1.0	hearing_aid_provider	hearing_aid_provider:22	False
auto pecas	Auto Peças	22	2	store	auto_parts_and_supply	1.0	auto_parts_and_supply_store	auto_parts_and_supply_store:20|shopping:2	False
boss store	BOSS Store	22	0	store	clothing	0.636	clothing_store	clothing_store:14|childrens_clothing_store:7|mens_clothing_store:1	False
samsonite	Samsonite	22	2	store	luggage	0.8	luggage_store	luggage_store:16|handbag_stores:3|shopping:2|clothing_store:1	False
sephora	Sephora	22	2	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:19|shopping:2|hair_supply_stores:1	True
humana	HUMANA	22	0	store	thrift	0.864	thrift_store	thrift_store:19|clothing_store:3	True
sports direct	Sports Direct	22	1	store	sports	1.0	sporting_goods	sporting_goods:19|sports_wear:2|shopping:1	True
fnac	FNAC	21	0	store	electronics	0.857	electronics	electronics:18|department_store:1|shoe_store:1|books_mags_music_and_video:1	True
bimba y	BIMBA Y	21	0	store	clothing	0.667	clothing_store	clothing_store:14|womens_clothing_store:5|childrens_clothing_store:2	False
pluricosmetica	Pluricosmética	21	0	store	beauty	1.0	cosmetic_and_beauty_supplies	cosmetic_and_beauty_supplies:11|perfume_store:9|hair_supply_stores:1	False
tous	Tous	21	2	store	jewelry	0.895	jewelry_store	jewelry_store:17|shopping:2|gift_shop:1|newspaper_and_magazines_store:1	True
sacoor brothers	Sacoor Brothers	20	0	store	clothing	0.95	clothing_store	clothing_store:19|mens_clothing_store:1	True
wurth portugal	Wurth Portugal	20	0	store	hardware	1.0	building_supply_store	building_supply_store:19|hardware_store:1	True
garrafeira soares	Garrafeira Soares	20	1	store	wine_and_spirits	1.0	liquor_store	liquor_store:19|shopping:1	False
triumph	Triumph	20	0	store	lingerie	0.8	lingerie_store	lingerie_store:16|womens_clothing_store:3|clothing_store:1	True
tous jewelry	Tous Jewelry	19	0	store	jewelry	1.0	jewelry_store	jewelry_store:19	True
decenio	Decenio	19	0	store	clothing	0.895	clothing_store	clothing_store:17|mens_clothing_store:2	True
livraria e	Livraria e	19	0	store	books	0.895	bookstore	bookstore:17|office_equipment:1|comic_books_store:1	False
kid to	Kid to	18	2	store	childrens_clothing	0.75	childrens_clothing_store	childrens_clothing_store:12|clothing_store:2|thrift_store:2|shopping:2	False
toys r	Toys R	18	0	store	toys	0.833	toy_store	toy_store:15|hobby_shop:3	True
