brand	rows	kinds_before_kan448	mixed
MEO	249	electronics:236, phone:13	yes
Worten	168	electronics:157, phone:9, furniture:2	yes
Parfois	161	fashion_accessories:146, clothing:11, womens_clothing:2, jewelry:2	yes
Calzedonia	114	clothing:60, childrens_clothing:35, womens_clothing:9, lingerie:9, mens_clothing:1	yes
Lanidor	106	womens_clothing:69, clothing:17, childrens_clothing:16, designer_clothing:3, fashion:1	yes
Intimissimi	99	clothing:73, lingerie:18, designer_clothing:3, womens_clothing:2, mens_clothing:2, fashion_accessories:1	yes
United Colors of Benetton	96	clothing:94, womens_clothing:1, childrens_clothing:1	yes
Sport Zone	86	sports:77, bicycle:5, shoes:1, home:1, gift:1, childrens_clothing:1	yes
Leroy Merlin	84	hardware:79, pet:1, home:1, furniture:1, fashion_accessories:1, arts_and_crafts:1	yes
NOS	83	electronics:55, phone:13, arts_and_crafts:4, clothing:2, books:2, toys:1, pet:1, jewelry:1, health_food:1, hardware:1, eyewear_and_optician:1, childrens_clothing:1	yes
Hôma	72	home:70, furniture:1, electronics:1	yes
Radio Popular	70	electronics:70	
Kiko	65	beauty:57, clothing:5, womens_clothing:1, jewelry:1, designer_clothing:1	yes
Perfumes & Companhia	61	beauty:55, fashion:3, clothing:2, gift:1	yes
O Boticário	61	beauty:60, home:1	yes
Bricomarché	61	hardware:41, home:18, nursery_and_gardening:1, any:1	yes
Bershka	60	clothing:56, womens_clothing:2, shoes:1, mens_clothing:1	yes
Kiwoko	59	pet:59	
Bertrand	59	books:59	
Chip7	58	electronics:56, phone:2	yes
Pull&Bear	55	clothing:54, mens_clothing:1	yes
BOSS	55	clothing:32, childrens_clothing:17, mens_clothing:4, electronics:1, boutique:1	yes
Mango	52	clothing:28, womens_clothing:23, fashion:1	yes
Springfield	50	clothing:47, mens_clothing:2, womens_clothing:1	yes
Tiffosi	49	clothing:39, womens_clothing:4, mens_clothing:4, boutique:2	yes
Tezenis	48	clothing:29, lingerie:12, womens_clothing:3, childrens_clothing:3, fashion_accessories:1	yes
Salsa	46	clothing:45, womens_clothing:1	yes
