overture_id	name	category	literal_head (ef6c9b9)	venue_rule
db56d296-fdd1-439a-8dc0-0825750f0526	(Permanently Closed) Nike Store Braga	sporting_goods	promoted:store/sports (category: sporting_goods)	promoted:store/shoes+sports (brand: store/shoes+sports)
fe3d85b6-cf49-49c4-86a0-e46fb85d3e43	A Desportiva Adidas	sporting_goods	promoted:store/sports (category: sporting_goods)	promoted:store/shoes+sports (brand: store/shoes+sports)
287515e3-61cb-416a-a942-032b0f96d415	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
863adeee-87ca-4899-a115-e3fde1f3be9e	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
7f33d87d-f3b5-4e87-8baf-4c2f106a259d	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
2d48610d-8688-4a35-a703-d1d919095a14	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
6f59b5cf-68fb-437e-b459-c2ddfa87155a	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
6876ba6d-492e-4376-9ae6-a2b5fe2fd4c3	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
a4b2bc7b-ba54-4cca-ab6c-8cb65cd8d678	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
39ca9bb3-45fe-4086-ad51-d2efc0378f6d	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
ad05b060-aec4-477f-ae21-46f3290cf4a7	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
d5d64e6c-d0c8-4256-840b-df4c75e90264	A loja do gato preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
28fa9b9e-fcde-41d2-b8aa-84ca96033617	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
e022f6d9-e37b-4b64-a181-85160ad7f8e8	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
8599fe06-b3b8-4ccd-9268-f457d9e25b4d	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
aa19975f-3ca4-4129-bedc-e35403d4431c	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
d705b382-2e5a-476f-94b1-9fb73f3e3112	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
1629fc68-85c9-48b1-930a-7c1d53c3725b	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
52fd462d-de6d-494c-a0e8-a9058015c032	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
04144c5d-2531-4647-ba63-dabc3d16c774	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
7c36032a-fe6c-4afc-862b-e3e3331e8ad5	A Loja do Gato Preto	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
7aa5ed51-5393-4adb-ad48-397e60e213b3	A Loja do Gato Preto, Parque Nascente	furniture_store	promoted:store/furniture (category: furniture_store)	promoted:store/home (brand: store/home)
ecfffe6f-c82d-4123-8733-0d89ba02ca12	AM Rebouças Tintas CIN		pending:	promoted:store/hardware (brand: store/hardware)
eb51ffdc-4ea9-4a5e-aa11-54be825aa404	Armazem Conforama Palmela CDC		pending:	promoted:store/furniture+home (brand: store/furniture+home)
d564eb8c-9c77-4ed4-b82c-756618a0157e	Armazens Primor	clothing_store	promoted:store/clothing (category: clothing_store)	promoted:store/beauty (brand: store/beauty)
e56040ad-ac4d-4962-9fd6-056fe45466c8	Audiologista Rio De Mouro - Alain Afflelou Audiologista	shopping	pending:	promoted:store/eyewear_and_optician (brand: store/eyewear_and_optician)
05b3b542-f9b3-4e3c-9a61-983d5b2e9329	B & Perfumes & Companhia	clothing_store	promoted:store/clothing (category: clothing_store)	promoted:store/beauty (brand: store/beauty)
94c09624-9338-48e4-9847-7cb0e87048af	Bitlogin - Chip7 Oliveira do Hospital	electronics	promoted:store/electronics (category: electronics)	promoted:store/electronics (brand: store/electronics)
a95d2825-74e8-4e45-9b74-a14e9ef7b138	Boutique Lacoste	clothing_store	promoted:store/clothing (category: clothing_store)	promoted:store/clothing (brand: store/clothing)
80e78444-b464-4f08-8d69-b364761d482d	Boutique Rolex | Torres Joalheiros	jewelry_store	promoted:store/jewelry (category: jewelry_store)	promoted:store/jewelry (brand: store/jewelry)
3c37ba24-6fc9-4aa3-a054-f4690babdd54	Ciclobaía :: Bicicletas Trek e Cannondale	bicycle_shop	promoted:store/bicycle (category: bicycle_shop)	promoted:store/bicycle (brand: store/bicycle)
89d1f16a-c887-4eaf-8666-3cfee05aceba	Costa Nova Porto Store	home_and_garden	promoted:store/home (category: home_and_garden)	promoted:store/club_store (brand: store/club_store)
